Easting,Northing,UTM Zone,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,Source,GlobalID,IsCpxChild,CpxName,CpxID
616484,4826386,T10,-121.5572139,43.58134545,91338,,CERTIFIED,0.17,2020/04/11 17:22:00+00,2020/04/11 17:22:00+00,0.3,0.3,ORCOC,,,,2020/05/08 14:44:14+00,,,,,Human,Equipment,,M11X,,2020/04/11 00:20:00+00,,2020/04/14 21:30:00+00,,,,,PD,1502,NWCC,,,,,,0072 CR,,WF,FI,43.58134,-121.5572,,2020/04/11 00:35:00+00,{356EA178-CB88-4BDE-A798-BD897A913326},,0,1,1,1,0,,72,,,,Klamath,ORCOC,41035,BLM,ORPRD,,BLM,Federal,,,,,,,NW07,BLM,ORPRD,US-OR,Timber,TU1,,,,2020-ORPRD-000072,No Decision,wildcad,INFORM_Inspector,0,,,2020/04/11 15:13:49+00,2020/05/08 14:44:16+00,IRWIN,{DCB4D0E5-3502-47CB-82FF-D53101486942},,,
633721,5059561,T10,-121.2830143,45.67670562,91611,,DEFAULT,95.586,2014/08/12 18:59:59+00,,3680,,,,,,,,,,,,,,JA4T,,2014/08/06 06:04:59+00,,2014/09/24 21:59:59+00,,,,,,,NWCC,,,,,,ROWENA,,WF,FI,,,,,{33B91957-B134-4FE6-B16A-E477ABDB8270},,0,1,1,1,0,,23,,,,Wasco,,41065,,,,,,,,,,,,,,OR954S,US-OR,,,,,,2014-OR954S-000023,,firecode,wfdss,0,,,2014/08/06 06:10:25+00,2014/11/04 17:47:52+00,IRWIN,{FA85786E-7BB5-401B-A088-D4E0E4CAEFEF},,,
1108122,4708490,T10,-115.6253127,42.29093589,91928,,DEFAULT,10405.0466,2019/07/27 02:00:00+00,2019/07/28 18:00:00+00,9432.8,350,IDSCC,465000,,,,Minimal,Creeping,Smoldering,,Natural,,,MG21,,2019/07/23 15:17:59+00,Type 5 Incident,2019/08/23 18:00:00+00,0,100,0,0,PD,1502,GBCC,2019/07/28 00:00:00+00,2019/07/27 12:00:00+00,2019/07/28 00:00:00+00,F,Type 5 IC,Lookout Point,"16 miles northwest of Murphy Hotsprings, ID",WF,FI,42.29416,-115.6234,350,,{DBCD4AA0-8BBF-4C69-8A99-BBBD772855BE},,0,1,0,0,0,,172,100,100,,Owyhee,IDSCC,16073,BLM,IDTFD,,BLM,Federal,,,,,,,GB04,BLM,IDTFD,US-ID,,,Short Grass (1 foot),Brush (2 feet),6,2019-IDTFD-000172,Approved Decision,wildcad,wildcad,0,Type 3 Incident,2019/07/24 18:52:14+00,2019/07/23 17:04:57+00,2019/08/17 18:50:19+00,IRWIN,{88A11F32-764B-4B1E-9ECF-B3565676D51F},,,
1086184,4893277,T10,-115.69441,43.95850603,92114,,CERTIFIED,80.0135,2015/08/08 15:49:59+00,2015/08/11 18:00:00+00,66,0.25,IDBDC,,,,2021/08/17 22:42:06+00,,,,,Natural,,,,,2015/08/04 18:44:44+00,,2015/08/17 23:15:00+00,,,,,,,GBCC,,,,,,MORES,,WF,FI,43.9576,-115.686302,2.5,,{3AF953D6-7C96-42C9-A0FA-447139BA38CB},,0,1,0,0,0,,819,,,,Boise,,16015,,IDBOF,,USFS,Federal,,,,,,,GB01,,IDBOF,US-ID,,,,,,2015-IDBOF-000819,,wildcad,INFORM_Inspector,0,,,2015/08/04 20:30:31+00,2021/08/17 22:42:06+00,IRWIN,{FF61C285-BA23-48A6-9044-FB7C5820AF74},,,
1062303,4847044,T10,-116.038113,43.56392597,92214,,DEFAULT,4791.5283,2016/07/24 02:00:00+00,2016/07/28 15:59:59+00,4311,2,IDBDC,2450000,,,,Minimal,Smoldering,Backing,Uphill Runs,Human,,,KGM7,,2016/07/19 19:18:59+00,Type 4 Incident,2016/07/29 18:00:00+00,,100,,,PD,1502,GBCC,2016/07/25 00:00:00+00,2016/07/24 12:59:59+00,2016/07/25 00:00:00+00,F,Type 4 IC,MM14  HIGHWAY21,,WF,FI,43.56897,-116.0436,,,{A56A4D5D-32E0-44FD-9A20-55B40A3592C5},,0,1,0,0,0,,547,100,,,Ada,,16001,,ID1AX,,,,,,,,,,GB04,BLM,IDBOD,US-ID,,,Short Grass (1 foot),Brush (2 feet),61,2016-IDBOD-000547,Approved Decision,wildcad,wildcad,0,,,2016/07/19 19:46:30+00,2017/01/10 22:20:51+00,IRWIN,{782B0AF6-1F06-4DEE-A320-18BB4B0EA390},,,
629214,5012733,T10,-121.3531838,45.25622277,92335,EK2F,CERTIFIED,12.17,2020/06/02 01:56:00+00,2020/06/03 22:37:00+00,13,10,WACCC,,,,2020/11/06 20:10:00+00,,,,,Natural,Lightning,,,,2020/05/31 21:55:29+00,,2020/07/10 22:15:59+00,,,,,P6,606,NWCC,,,,,,BADGER CREEK,,WF,FI,45.25603,-121.3893,13,2020/05/31 22:56:00+00,{186DF1B1-FC64-4C57-A3B5-F173709D62C5},1,0,0,0,0,0,,164,,,,Wasco,WACCC,41065,FS,ORMHF,,USFS,Federal,,,,,,,NW06,FS,ORMHF,US-OR,Timber,TL4,,,,2020-ORMHF-000164,No Decision,wildcad,INFORM_Inspector,0,,,2020/06/01 01:57:29+00,2020/11/06 20:10:01+00,IRWIN,{5490B002-1A77-41D9-963B-BA7A66ED6EAF},,,
561420,4719267,T10,-122.2510139,42.62340532,92366,,DEFAULT,1102.9192,2014/09/21 00:59:59+00,2014/11/07 18:59:59+00,3038,,,,,,,,,,,Natural,,,H9XR,,2014/07/30 14:26:00+00,,2014/11/14 20:00:00+00,,,,,,,NWCC,,,,,,CAMP CREEK,,WF,FI,,,,,{F6A6A068-D692-4798-AE27-86BDE8C6A325},,0,0,0,1,0,,140678,,,,Klamath,,41035,,ORRSF,,USFS,Federal,,,,,,,,,ORRSF,US-OR,,,,,,2014-ORRSF-140678,,firecode,wfdss,0,,,2014/07/30 20:38:21+00,2014/12/29 18:19:46+00,IRWIN,{488D53A3-4868-4C4D-BD5E-F6D76AA96EF3},,,
453547,4506501,T10,-123.5499138,40.70811508,93565,,DEFAULT,398.3504,2018/05/16 00:59:59+00,2018/06/20 21:45:00+00,226,0.1,CARICC,2200000,,,,Minimal,Smoldering,Smoldering,Backing,Human,,,LP6P,,2018/04/24 23:58:59+00,Type 5 Incident,2018/06/20 21:46:00+00,50,45,5,0,P5,514,ONCC,2018/06/20 21:59:59+00,2018/06/20 21:00:00+00,2018/06/20 21:59:59+00,F,Type 5 IC,GRAPE,COUNTY RD 311 AND FOREST ROAD 4N20,WF,FI,40.70525,-123.5447,,,{08F9190B-FCFF-4496-90F2-2CD907ADA8D5},,0,0,0,0,0,,382,95,95,HYAMPOM,Humboldt,CARICC,6023,FS,CASHF,,USFS,Federal,Humboldt,,,5E,24,4N,NC04,FS,CASHF,US-CA,,,Chaparral (6 feet),Medium Logging Slash,70,2018-CASHF-000382,Approved Decision,wildcad,wildcad,0,,,2018/04/25 00:48:09+00,2018/11/14 20:43:23+00,IRWIN,{A1BAD5EA-E401-4AB4-89E8-B289F28C49E8},,,
714755,4920351,T10,-120.3030139,44.40460563,93634,,DEFAULT,775.6218,2014/07/14 17:51:00+00,2014/08/14 16:41:59+00,191,,,,,,,,,,,Natural,,,,,2014/07/13 23:09:00+00,,2014/11/03 16:47:00+00,,,,,,,NWCC,,,,,,0308 PR LAVA FIRE,,WF,FI,,,,,{E09C6DD5-ECE0-401A-9B77-A5EED7C3D72F},,0,,,,,,308,,,,Crook,,41013,,OROCF,,USFS,Federal,,,,,,,,,OROCF,US-OR,,,,,,2014-OROCF-000308,,wfdss,wfdss,0,,,2014/07/18 18:05:18+00,2014/11/04 22:30:51+00,IRWIN,{2398C2E9-4238-457C-87EB-F6CE135D586F},,,
599108,4976131,T10,-121.7440142,44.93170552,93854,,DEFAULT,5644.1752,2014/10/17 23:29:59+00,2014/10/17 23:29:59+00,6644,,,16200000,,,,,,,,Natural,,,H8MK,,2014/07/16 21:27:59+00,,2014/10/24 23:29:59+00,,,,,,,NWCC,,,,F,,LOGGING UNIT FIRES,,WF,FI,,,,,{FD83EB84-B794-4623-B51E-296DD0A11ACD},,0,1,0,0,0,,70,100,,,Wasco,,41065,,ORWSA,,BIA,Federal,,,,,,,,,ORWSA,US-OR,,,,,99,2014-ORWSA-000070,,firecode,wfdss,0,,,2014/07/16 22:03:40+00,2015/02/05 22:01:52+00,IRWIN,{18AEB683-2101-4698-A464-D056D5950A4F},,,
487064,4726783,T10,-123.157914,42.69342525,93875,,ICS209,7865.5177,2018/08/08 18:59:59+00,2018/12/31 08:00:00+00,8650,0.1,ORRVC,,,,,,,,,Natural,,,L035,,2018/07/16 15:59:59+00,,2018/12/31 20:00:00+00,,,,,,,NWCC,,,,,,Grave Creek #3,,WF,FI,42.69342,-123.1579,,,{470FF209-79B4-41FF-8247-5199BB1A6FED},,0,1,0,0,0,,441,,,,Jackson,ORRVIC,41029,DOF,OR712S,,,,,,,,,,NW04,BLM,ORMED,US-OR,,,,,,2018-ORMED-000441,Approved Decision,wildcad,wildcad,0,,,2018/07/21 22:22:37+00,2019/04/10 18:27:15+00,IRWIN,{7C7788BE-F4BD-4415-A9E9-B47BA441E713},,,
572271,4886570,T10,-122.0966141,44.12875544,94111,,DEFAULT,8.4265,2017/10/19 22:54:59+00,2017/10/19 22:54:59+00,3587,5,OREIC,,,,,,,,,Natural,,,K9RH,,2017/08/11 19:12:00+00,,2017/12/02 00:30:00+00,,,,,P6,618,NWCC,,,,,,Avenue,,WF,FI,44.12875,-122.0966,10,,{5C62BEC2-5684-42BB-BC79-0AC3534D0B7F},,0,0,0,0,0,,170202,,,,Lane,,41039,,ORWIF,,USFS,Federal,,,,,,,NW04,FS,ORWIF,US-OR,,,,,,2017-ORWIF-170202,Approved Decision,wildcad,wildcad,0,,,2017/08/11 23:16:26+00,2017/12/28 00:28:09+00,IRWIN,{7B57AB8E-B3A1-4707-827B-5EACD9581ECB},1,Horse Creek Complex,{488C2DD5-7E0A-4087-A374-93D11C74D858}
647025,4934202,T10,-121.149114,44.54615556,94149,,CERTIFIED,43.07,,,42,1,ORCOC,,,,2020/08/29 18:42:22+00,,,,,Human,Debris/Open Burning,Agricultural,NH0Y,,2020/08/27 21:10:00+00,,,,,,,PN,1502,NWCC,,,,,,0800 RN,,WF,FI,44.55672,-121.1783,,,{3F126055-657F-42FF-B4C0-8681D14222C0},0,0,1,0,1,0,,800,,,,Jefferson,ORCOC,41031,,,,Private,Private,,,,,,,NW06,C&L,ORJEFN,US-OR,,,,,,2020-ORJEFN-000800,No Decision,wildcad,INFORM_Inspector,0,,,2020/08/27 21:54:30+00,2020/08/29 18:42:24+00,IRWIN,{CFC6E2AD-E02E-4F03-8A11-B762A84D0946},,,
856515,4703776,T10,-118.6680133,42.40440563,94518,,DEFAULT,10241.8537,2014/09/27 00:59:59+00,2014/10/06 00:59:59+00,14713,,,1000000,,,,,,,,Natural,,,JEL8,,2014/09/18 23:29:59+00,,2014/10/16 18:59:59+00,,,,,,,NWCC,,,,F,,Bone Creek Basin,,WF,FI,,,,,{9A2E7F9A-2FFF-43D3-BC62-BBC3AF7F41AC},,0,1,0,0,0,,4276,100,,,Harney,,41025,,ORBUD,,BLM,Federal,,,,,,,,,ORBUD,US-OR,,,,,,2014-ORBUD-004276,,firecode,wfdss,0,,,2014/09/16 18:34:36+00,2014/10/16 19:15:51+00,IRWIN,{D114B87E-A47F-4DFF-8503-E08BAEF7CA8C},,,
522989,4474377,T10,-122.7290136,40.41970513,94750,,DEFAULT,4534.2986,2014/07/27 00:59:59+00,2014/08/06 00:59:59+00,12661,,,23865759,,,,,,,,Human,,,H71Z,,2014/07/11 22:41:00+00,,2014/08/31 00:59:59+00,,,,,,,ONCC,,,,F,,BULLY,,WF,FI,,,,,{521E9771-6DF7-4523-A996-A3FF2715CABA},,0,1,0,1,0,,6248,100,,,Shasta,,6089,,,,,,,,,,,,,,CASHU,US-CA,,,,,266,2014-CASHU-006248,,firecode,wfdss,0,,,2014/07/11 23:08:23+00,2014/09/08 17:22:00+00,IRWIN,{9629355F-4FB7-4DF7-9E68-90913C32F4C4},,,
990620,4720902,T10,-117.031313,42.48484578,94764,,DEFAULT,1083.8465,2018/08/27 19:15:00+00,2018/08/27 19:15:00+00,751.7,20,ORVAC,1500000,,,,Minimal,Smoldering,Creeping,Backing,Natural,,,L1RE,,2018/07/26 20:41:00+00,Type 4 Incident,2018/09/05 18:00:00+00,0,100,0,0,,,NWCC,2018/08/27 19:15:00+00,2018/08/27 14:00:00+00,2018/08/27 19:15:00+00,F,Type 4 IC,Pole Creek,20 miles South of Jordan Valley,WF,FI,42.36007,-117.0947,,,{DCDC7A02-B047-49A8-97D1-84E84AC3CA8D},,0,1,1,1,1,,148,100,100,,Malheur,ORVAC,41045,BLM,ORVAD,,BLM,Federal,,,,,,,NW12,BLM,ORVAD,US-OR,,,Timber (Litter and Understory),Short Grass (1 foot),12,2018-ORVAD-000148,Approved Decision,wildcad,wildcad,0,,,2018/07/26 21:41:33+00,2019/02/14 19:53:16+00,IRWIN,{98297DEC-D7E7-47CA-825B-CA1A6BAECFC2},,,
626496,5057030,T10,-121.3764032,45.65528341,95278,,DEFAULT,790.8727,,,985,,OR954C,3255453,,,,Minimal,Creeping,Smoldering,Smoldering,Human,,,NE2U,,2020/08/12 23:32:59+00,Type 1 Incident,,0,100,0,0,,,NWCC,2020/08/17 00:59:59+00,2020/08/16 00:59:59+00,2020/08/17 00:59:59+00,U,Type 1 Team,MOSIER CREEK,"Two miles south of Mosier, OR",WF,FI,,,,,{47839EA3-1520-4582-B4FC-D4385699CDF1},,0,1,1,1,0,0,22,65,100,Mosier,Wasco,ORCOC,41065,,,,Private,Private,Willamette,SW,NW,12E,18,2N,NW06,DOF,OR954S,US-OR,,,Short Grass (1 foot),Timber (Grass and Understory),693,2020-OR954S-000022,No Decision,firecode,ics209,0,,,2020/08/13 00:16:39+00,2020/08/17 03:33:26+00,IRWIN,{D5C7A4FC-4F8D-4145-9BED-371972661A16},,,
701360,4713399,T10,-120.5475847,42.5467527,95713,,CERTIFIED,2.09,2020/09/04 20:03:00+00,2020/09/05 23:58:00+00,2.1,4,ORLFC,,,,2020/10/28 21:50:47+00,,,,,Human,Camping,,NJ11,,2020/09/04 14:13:59+00,,2020/09/26 22:38:59+00,,,,,P6,602,NWCC,,,,,,Avery,,WF,FI,42.547,-120.5479,,2020/09/04 15:17:00+00,{6F8D7EDF-5497-4EFA-810D-024E23BABA7C},,0,1,0,0,0,,200398,,,,Lake,ORLFC,41037,FS,ORFWF,,USFS,Federal,,,,,,,NW07,FS,ORFWF,US-OR,Grass-Shrub,GS2,,,,2020-ORFWF-200398,No Decision,wildcad,INFORM_Inspector,0,,,2020/09/04 15:58:20+00,2020/10/28 21:50:48+00,IRWIN,{0B50A717-0EF1-4A35-BFC3-2AE159733991},,,
625317,4844654,T10,-121.4436139,43.74433548,96533,,CERTIFIED,53.07,2020/07/09 00:19:00+00,2020/07/10 23:57:00+00,48.5,0.1,ORCOC,,,,2021/01/07 22:39:33+00,,,,,Human,Other Human Cause,,M8TG,,2020/07/05 20:03:00+00,,2020/12/11 15:40:00+00,,,,,PD,1502,NWCC,,,,,,PAULINA LAKE 0360 NE,,WF,FI,43.75443,-121.456,2,2020/07/05 20:29:59+00,{ED3C1D54-936F-4FD2-B9F4-CD1AD289C4C7},1,0,1,1,1,0,,360,,,,Deschutes,ORCOC,41017,BLM,ORPRD,,BLM,Federal,,,,,,,NW07,BLM,ORPRD,US-OR,Timber,TL6,,,,2020-ORPRD-000360,No Decision,wildcad,INFORM_Inspector,0,,,2020/07/05 20:16:38+00,2021/01/07 22:39:34+00,IRWIN,{B7B07506-CEF4-4356-8828-EFB365AEFEB5},,,
421399,4683142,T10,-123.9535141,42.29654515,97762,,DEFAULT,142944.0062,2017/11/03 00:00:00+00,2017/11/29 22:17:00+00,191125,0.5,ORRVC,72000000,,,,Minimal,Smoldering,Smoldering,Creeping,Natural,,,K5EM,,2017/07/12 20:42:59+00,Type 4 Incident,2017/11/29 22:17:00+00,25,100,25,25,,,NWCC,2017/11/02 22:30:00+00,2017/10/27 00:59:59+00,2017/11/02 22:30:00+00,F,Type 4 IC,Chetco Bar,"Sixteen miles west of Selma, OR",WF,FI,42.22077,-123.9222,0.5,,{0DB1B631-B388-4880-8E5F-CAB85B14CA43},,0,0,0,0,0,0,326,100,100,Brookings,Curry,ORRVIC,41015,FS,ORRSF,,USFS,Federal,,,,,,,NW04,FS,ORRSF,US-OR,,,Timber (Litter and Understory),Medium Logging Slash,0,2017-ORRSF-000326,Approved Decision,wildcad,wildcad,0,,,2017/07/12 23:33:10+00,2018/06/22 00:36:30+00,IRWIN,{78C06C29-C81F-45DB-BBE9-3FD32778F342},,,
634912,4988977,T10,-121.2870142,45.04140558,98226,,DEFAULT,691.8286,,2014/10/17 14:00:00+00,335,,,550000,,,,,,,,Natural,,,JAK3,,2014/08/04 01:28:59+00,,2014/10/24 17:00:00+00,,,,,,,NWCC,,,,F,,NENE CREEK,,WF,FI,,,,,{D160C5AD-E03B-4D41-A87B-D28ADB80EDDB},,0,1,0,0,0,,114,90,,,Wasco,,41065,,ORWSA,,BIA,Federal,,,,,,,,,ORWSA,US-OR,,,,,3,2014-ORWSA-000114,,firecode,wfdss,0,,,2014/08/03 02:23:25+00,2014/10/25 15:47:13+00,IRWIN,{4BE8AF6C-3DD5-47C6-9E9E-8B4C13B3F3E7},,,
1060451,5021455,T10,-115.8736092,45.12370511,98638,,DEFAULT,0.1003,2015/09/06 15:59:59+00,2015/09/06 18:00:00+00,1,0.1,IDPAC,6000,,,,,,,,Natural,,,,,2015/08/11 04:11:38+00,Type 5 Incident,2015/09/06 19:25:00+00,,,,,,,GBCC,2015/08/27 23:00:00+00,2015/08/27 12:59:59+00,2015/08/27 23:00:00+00,F,Type 5 IC,Loon Creek,,WF,FI,45.100201,-115.891998,0.25,,{EF498D5A-90CF-45CF-BC2A-91F162BD6344},,0,0,0,0,0,,180,1,,,Valley,IDPAC,16085,,IDPAF,,USFS,Federal,,,,,,,GB01,,IDPAF,US-ID,,,Timber (Litter and Understory),,,2015-IDPAF-000180,,wildcad,wildcad,0,,,2015/08/11 15:02:24+00,2018/05/17 17:56:55+00,IRWIN,{4170B802-C855-43AC-B24A-5C87F9C24639},,,
647137,5187157,T10,-121.0710145,46.82170571,98813,,DEFAULT,936.5459,2015/10/04 01:15:59+00,,0.1,,,,,,,,,,,Undetermined,,,,,2015/09/12 22:08:00+00,,2015/11/23 16:44:59+00,,,,,,,NWCC,,,,,,Meeks Table,,WF,FI,,,,,{FBE86C0B-8291-4325-A880-7D104A43C2FF},,0,,,,,,61708,,,,Yakima,,53077,,WAOWF,,USFS,Federal,,,,,,,,,WAOWF,US-WA,,,,,,2015-WAOWF-061708,,wfdss,wfdss,0,,,2015/09/13 16:35:36+00,2015/12/08 19:40:41+00,IRWIN,{6F489E1F-4210-451A-BC43-A888C2D58EDC},,,
566794,4798502,T10,-122.176014,43.33640538,99247,,DEFAULT,3.0853,2015/07/08 18:59:59+00,,388,,,5000000,,,,,,,,Natural,,,JUT7,,2015/06/27 01:02:00+00,Type 3 Incident,2015/11/13 23:00:00+00,,,,,,,NWCC,2015/11/06 14:00:00+00,2015/11/05 14:00:00+00,2015/11/06 14:00:00+00,F,Type 5 IC,BUNKER HILL,,WF,FI,,,,,{242E4B5C-F10E-4340-A2FE-CEE281AD1A13},,0,0,0,0,0,,201556,100,,Roseburg,Douglas,,41019,,ORUPF,,USFS,Federal,Willamette,,,5E,1,26S,,,ORUPF,US-OR,,,Timber (Litter and Understory),,,2015-ORUPF-201556,,firecode,wfdss,0,,,2015/06/27 05:08:43+00,2015/11/16 19:22:56+00,IRWIN,{DAB24052-DF31-4239-A092-9A5E393AB6A6},,,
509948,4641390,T10,-122.8800139,41.92440522,99272,,DEFAULT,15242.1153,2014/08/31 02:00:00+00,,32496,,,27128721,,,,,,,,Natural,,,,,2014/07/30 21:59:59+00,,2015/01/07 19:25:00+00,,,,,,,ONCC,,,,F,,KNF Beaver,,WF,FI,,,,,{7E915F8D-4573-452B-915B-35850A954DA1},,0,,,,,,5497,100,,,Siskiyou,,6093,,,,,,,,,,,,,,CAKNF,US-CA,,,,,194,2014-CAKNF-005497,,wfdss,wfdss,0,,,2014/07/31 03:05:32+00,2015/01/07 19:29:17+00,IRWIN,{D7ED0173-9964-4EB5-B347-745F7ECDFF28},,,
633349,4466678,T10,-121.4300134,40.34000523,99540,,DEFAULT,337.2781,2018/10/05 00:29:00+00,2018/10/10 15:00:00+00,261,,,1128000,,,,Minimal,Smoldering,Smoldering,Short-range Spotting,Unknown,,,L5J0,,2018/09/28 18:59:59+00,Type 4 Incident,2018/11/30 21:00:00+00,0,100,0,0,,,ONCC,2018/10/04 23:45:00+00,2018/10/04 12:59:59+00,2018/10/04 23:45:00+00,F,Type 4 IC,Wilson,wilson lake,WF,FI,,,,,{068DBF6B-4CAE-4E7F-A77D-2D10DACF3305},,0,,,,,,5194,100,100,,Tehama,CASIFC,6103,FS,CALNF,,USFS,Federal,,,,,,,NC07,,CALNF,US-CA,,,Timber (Litter and Understory),Medium Logging Slash,42,2018-CALNF-005194,Approved Decision,wfdss,wfdss,0,,,2018/09/28 22:54:30+00,2018/12/21 00:32:23+00,IRWIN,{5DCF712E-CAE4-47FC-9489-6C1035310654},,,
701106,4708473,T10,-120.5524136,42.50249547,99668,,CERTIFIED,1248.9369,,2020/08/10 22:53:00+00,1249,0.1,ORLFC,2300000,,,2020/10/28 14:57:06+00,Minimal,Creeping,Smoldering,Creeping,Human,Other Human Cause,,NAM5,,2020/07/21 19:50:59+00,Type 5 Incident,2020/09/29 23:29:59+00,0,100,0,0,PN,1502,NWCC,2020/08/01 00:00:00+00,2020/07/30 21:59:59+00,2020/08/01 00:00:00+00,F,Type 5 IC,Ben Young,"13 miles South of Paisley, OR",WF,FI,42.50534,-120.5991,,,{5C825635-BCE2-46C5-8F5E-4D0C4E8A0F06},,0,1,0,0,0,0,200196,100,100,,Lake,ORLFC,41037,DOF,OR982S,,Private,Private,Willamette,SW,SE,18E,26,35S,NW07,DOF,OR982S,US-OR,,,Short Grass (1 foot),Brush (2 feet),0,2020-OR982S-200196,Approved Decision,wildcad,INFORM_Inspector,0,Type 2 Incident,2020/07/23 20:30:09+00,2020/07/21 20:50:08+00,2020/10/28 14:57:07+00,IRWIN,{24C58C93-0148-486C-94F9-BA19CC0F4837},,,
612048,5174624,T10,-121.5339146,46.71578565,99937,EK2C,CERTIFIED,6.3875,2020/08/22 18:48:00+00,2020/09/28 00:00:00+00,6,2.5,WACCC,,,,2020/12/15 17:03:50+00,,,,,Natural,Lightning,,NF57,,2020/08/18 23:35:59+00,,2020/10/27 17:47:00+00,,,,,P6,603,NWCC,,,,,,CARLTON,,WF,FI,46.72031,-121.5397,2.5,2020/08/19 15:00:00+00,{BC791843-9D14-483A-AE96-48D6263844C6},,0,0,0,0,0,,694,,,,Lewis,WAPSC,53041,FS,WAGPF,,USFS,Federal,,,,,,,NW02,FS,WAGPF,US-WA,Timber,TU5,,,,2020-WAGPF-000694,Approved Decision,wildcad,INFORM_Inspector,0,Type 5 Incident,2020/08/27 22:48:33+00,2020/08/19 02:32:18+00,2020/12/15 17:03:51+00,IRWIN,{9A7F9EB1-2666-4545-8149-01CE9CDA1563},,,
766259,4561723,T10,-119.8264525,41.16314093,100144,,CERTIFIED,8.91,2020/06/26 21:00:00+00,2020/06/28 23:00:00+00,8.9,0.1,CASIFC,,,,2020/07/14 21:51:20+00,,,,,Natural,Lightning,,M7Q4,,2020/06/26 18:55:24+00,,2020/06/30 20:00:00+00,,,,,,,ONCC,,,,,,HAYS,,WF,FI,41.1635,-119.826667,,2020/06/26 18:59:59+00,{7EC7E497-CBA3-4776-BF4C-738BFD27FF80},,0,1,0,0,0,,3353,,,,Washoe,CASIFC,32031,BLM,CANOD,,Private,Private,,,,,,,NC08,BLM,CANOD,US-NV,Brush,SH2,,,,2020-CANOD-003353,No Decision,cfcad,INFORM_Inspector,0,,,2020/06/26 21:17:58+00,2020/07/14 21:51:21+00,IRWIN,{F7AF73D6-C7E7-411B-ACAF-842A6FE6204F},,,
1008067,4996921,T10,-116.5600133,44.94380603,100240,,DEFAULT,39.0902,2014/07/17 15:59:59+00,2014/07/19 17:45:59+00,1,,,,,,,,,,,Natural,,,,,2014/07/14 18:56:00+00,,2014/07/24 20:51:00+00,,,,,,,EBCC,,,,,,Weasel Spring,,WF,FI,,,,,{E94FF65A-63FF-4979-99BA-3846A8478D85},,0,,,,,,14027,,,,Adams,,16003,,IDPAF,,USFS,Federal,,,,,,,,,IDPAF,US-ID,,,,,,2014-IDPAF-014027,,wfdss,wfdss,0,,,2014/07/14 23:57:46+00,2014/07/24 21:46:50+00,IRWIN,{37006DAE-C8A0-4B03-B50D-7D24FB68AAF1},,,
496950,4453009,T10,-123.0358436,40.22750509,100358,,DEFAULT,3157.2382,2017/10/31 00:59:59+00,2017/11/20 23:29:59+00,13343,0.1,CARICC,11500000,,,,Minimal,Smoldering,Creeping,Backing,Natural,,,LC4X,,2017/09/13 01:41:59+00,Type 3 Incident,2017/11/28 20:25:00+00,40,60,,20,P5,514,ONCC,2017/10/26 23:45:00+00,2017/10/26 00:30:00+00,2017/10/26 23:45:00+00,F,Type 3 Team,BUCK,"Black Rock Mountain, North Portion of Yolla Bolly Wilderness",WF,FI,40.22763,-123.0357,,,{015BAE3A-C3C9-489B-9AD6-8A8E6036BEEA},,0,0,0,0,1,0,1850,71,80,Platina,Trinity,,6105,,CASHF,,USFS,Federal,Mt. Diablo,SW,SE,10,31,28,NC04,FS,CASHF,US-CA,,,Timber (Litter and Understory),Brush (2 feet),198,2017-CASHF-001850,Approved Decision,wildcad,wildcad,0,,,2017/09/13 15:26:02+00,2017/11/30 23:25:47+00,IRWIN,{13621A7B-B326-4B9E-B45A-47A1AE28E41A},,,
